step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
648,TRANSFER,1086227.44,C1889568678,1086227.44,0.0,C1906681343,0.0,0.0,1,0
330,CASH_IN,394858.12,C960599901,762408.55,1157266.67,C1561072817,1479749.7,1084891.58,0,0
36,CASH_OUT,22619.81,C365186144,6770.86,0.0,C1475436877,69891.07,92510.88,0,0
210,CASH_OUT,48008.71,C1216234420,10823.0,0.0,C652285552,2553436.19,2601444.9,0,0
15,CASH_OUT,327802.61,C1003362786,45118.0,0.0,C1223678140,25384.15,353186.76,0,0
37,CASH_OUT,105623.01,C763428643,63643.0,0.0,C1861004618,0.0,105623.01,0,0
380,PAYMENT,10136.54,C612027894,0.0,0.0,M1497220023,0.0,0.0,0,0
287,CASH_OUT,7109453.78,C34310706,7109453.78,0.0,C615611865,1377347.2,8486800.98,1,0
325,TRANSFER,1507225.17,C809813770,31866.0,0.0,C156112175,0.0,1507225.17,0,0
114,CASH_OUT,2908264.69,C784554482,2908264.69,0.0,C669471346,2786059.72,5694324.4,1,0
252,PAYMENT,8648.58,C551702856,3271.4,0.0,M1485874437,0.0,0.0,0,0
203,CASH_IN,274985.81,C14030122,2076.0,277061.81,C326996834,182029.08,0.0,0,0
120,TRANSFER,377919.58,C1265971736,377919.58,0.0,C806590394,0.0,0.0,1,0
256,CASH_OUT,256196.0,C1519604691,0.0,0.0,C1602680965,2113754.95,2369950.95,0,0
162,CASH_OUT,165333.92,C2080860115,147863.77,0.0,C867216411,1219233.75,1384567.67,0,0
239,PAYMENT,14507.83,C68109837,0.0,0.0,M267067889,0.0,0.0,0,0
427,TRANSFER,225324.05,C1109518048,225324.05,0.0,C1691016675,0.0,0.0,1,0
305,PAYMENT,14037.04,C2146355993,0.0,0.0,M2047624954,0.0,0.0,0,0
129,PAYMENT,13913.88,C615249144,0.0,0.0,M1836391977,0.0,0.0,0,0
345,CASH_OUT,49651.56,C17646566,176018.0,126366.44,C1422778346,8664.94,58316.5,0,0
136,CASH_OUT,379832.38,C537354277,0.0,0.0,C1037971876,1514722.31,1894554.69,0,0
505,TRANSFER,2979972.78,C1904352957,2979972.78,0.0,C436096516,0.0,0.0,1,0
307,PAYMENT,13165.67,C783090881,0.0,0.0,M1954630601,0.0,0.0,0,0
251,PAYMENT,35755.97,C1334237943,199490.0,163734.03,M701901790,0.0,0.0,0,0
202,CASH_OUT,145035.29,C691483704,0.0,0.0,C633110201,682746.26,827781.54,0,0
403,PAYMENT,10799.13,C1102112987,0.0,0.0,M1091701244,0.0,0.0,0,0
35,CASH_IN,154151.14,C1727259928,3341107.4,3495258.54,C225323428,897711.3,743560.16,0,0
166,PAYMENT,28211.09,C998928545,162497.03,134285.94,M304718058,0.0,0.0,0,0
39,PAYMENT,17735.09,C1189326591,0.0,0.0,M1731315140,0.0,0.0,0,0
141,TRANSFER,370382.39,C355611635,370382.39,0.0,C137763659,0.0,0.0,1,0
179,CASH_OUT,445705.76,C1911704726,445705.76,0.0,C960848277,0.0,445705.76,1,0
605,TRANSFER,251118.04,C1837848776,251118.04,0.0,C119259664,0.0,0.0,1,0
419,CASH_IN,75964.22,C1728224115,10683999.56,10759963.78,C284805829,123457.87,47493.65,0,0
230,CASH_OUT,189422.26,C1073483646,0.0,0.0,C1967414914,2293728.42,2483150.68,0,0
252,CASH_OUT,142301.95,C340763531,53121.0,0.0,C78247969,49599.0,0.0,0,0
562,CASH_OUT,2305939.38,C2131356877,2305939.38,0.0,C1797345744,0.0,2305939.38,1,0
250,TRANSFER,466508.48,C470800764,31417.0,0.0,C49389436,304754.02,771262.5,0,0
396,CASH_OUT,43510.24,C55741230,49615.0,6104.76,C1660668337,116260.53,159770.78,0,0
240,TRANSFER,1381853.46,C304782430,0.0,0.0,C2098843809,2382442.26,3764295.72,0,0
373,CASH_OUT,374718.17,C92636469,1043.0,0.0,C484123347,283231.13,657949.3,0,0
119,CASH_OUT,142739.97,C1947743607,35423.09,0.0,C1645432051,1279623.22,1422363.19,0,0
21,TRANSFER,37532.96,C344978110,0.0,0.0,C1842864235,57031.96,0.0,0,0
42,CASH_IN,343537.7,C2119047144,4680837.39,5024375.09,C1067020001,414825.49,71287.78,0,0
261,TRANSFER,196561.69,C1808233473,196561.69,0.0,C333956896,0.0,0.0,1,0
312,PAYMENT,7333.08,C103406148,1697.0,0.0,M1228637420,0.0,0.0,0,0
309,TRANSFER,2305340.62,C1663942779,0.0,0.0,C918100626,5225238.73,7530579.35,0,0
208,PAYMENT,7500.66,C1634915156,10605.0,3104.34,M284558572,0.0,0.0,0,0
15,PAYMENT,25557.63,C1266779897,10823.0,0.0,M1628245005,0.0,0.0,0,0
137,PAYMENT,28802.15,C793193591,318124.19,289322.04,M908443387,0.0,0.0,0,0
374,TRANSFER,9226.14,C2071290747,0.0,0.0,C1447319426,25422.6,34648.74,0,0
544,PAYMENT,5995.92,C1411873546,0.0,0.0,M1244676919,0.0,0.0,0,0
332,CASH_OUT,143693.79,C1477042031,113173.0,0.0,C576010732,194430.16,338123.95,0,0
180,CASH_IN,148719.63,C894168957,12520335.5,12669055.13,C348256295,10908061.4,10759341.78,0,0
464,TRANSFER,4640633.37,C180932654,4640633.37,0.0,C1673286866,0.0,0.0,1,0
18,CASH_OUT,316784.45,C1003913331,41575.0,0.0,C730372820,371648.71,1173110.88,0,0
189,CASH_IN,13105.41,C1257935710,7076.0,20181.41,C992110216,16368.8,3263.39,0,0
662,TRANSFER,1468304.35,C151325855,1468304.35,0.0,C1135260060,0.0,0.0,1,0
262,TRANSFER,25829.03,C1312284221,0.0,0.0,C203791212,13326085.54,13351914.57,0,0
132,TRANSFER,1400472.01,C926121167,1400472.01,0.0,C516391420,0.0,0.0,1,0
12,CASH_OUT,81011.64,C376121007,0.0,0.0,C830832722,131544.0,169473.79,0,0
159,CASH_OUT,148013.29,C728034723,0.0,0.0,C517751440,600855.43,748868.72,0,0
332,CASH_OUT,85965.49,C267926552,0.0,0.0,C489623072,9628804.44,9714769.94,0,0
707,CASH_OUT,3049753.79,C91165547,3049753.79,0.0,C29787245,600657.15,3650410.94,1,0
139,CASH_OUT,139024.13,C1968800928,0.0,0.0,C888843763,1697047.63,1836071.76,0,0
305,DEBIT,1216.69,C1188551291,43860.43,42643.73,C824944063,2798214.95,2799431.64,0,0
534,TRANSFER,771024.82,C1127605507,771024.82,0.0,C1392260750,0.0,0.0,1,0
203,PAYMENT,2850.38,C1453197142,3301.26,450.88,M1860463366,0.0,0.0,0,0
283,CASH_IN,46825.75,C262236052,10991079.0,11037904.76,C1082987864,4180205.33,4133379.57,0,0
47,CASH_OUT,667043.9,C1676208609,667043.9,0.0,C1263000252,104132.27,771176.17,1,0
263,CASH_OUT,30412.64,C1744132107,0.0,0.0,C204788244,98217.69,128630.33,0,0
594,CASH_OUT,217357.58,C543137338,217357.58,0.0,C1467736806,8844811.88,9062169.46,1,0
178,PAYMENT,8769.73,C552155793,43856.0,35086.27,M1332244754,0.0,0.0,0,0
285,PAYMENT,1195.11,C2123766103,164711.0,163515.89,M1167501820,0.0,0.0,0,0
155,PAYMENT,4985.48,C1315849921,53526.0,48540.52,M429482735,0.0,0.0,0,0
10,PAYMENT,6714.78,C1297453233,0.0,0.0,M1894829701,0.0,0.0,0,0
188,PAYMENT,11344.29,C214087990,246708.2,235363.91,M118640533,0.0,0.0,0,0
277,CASH_OUT,342988.79,C671195185,342988.79,0.0,C534450882,0.0,342988.79,1,0
137,CASH_IN,397005.79,C849869582,2072548.19,2469553.98,C61904053,3276957.16,2879951.37,0,0
583,CASH_OUT,1583.28,C538660797,1583.28,0.0,C595029020,826666.86,828250.14,1,0
33,CASH_OUT,264612.09,C1877757645,587900.0,323287.91,C1603219382,0.0,264612.09,0,0
204,CASH_IN,263641.54,C676243838,5775569.59,6039211.13,C193628465,665934.41,402292.87,0,0
385,CASH_OUT,70270.73,C1737887739,93809.0,23538.27,C2040400760,0.0,70270.73,0,0
373,TRANSFER,412519.69,C1673361152,0.0,0.0,C460228313,2028473.17,2440992.86,0,0
